town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Namanga,136.88,146.78,152.28,161.28,161.28,161.28,181.25,180.25,179.25,179.25,179.25,179.25,181.23,,196.4,,183.63,131.03,130.96
Marigat,,,,,,,,,,,,,180.69,179.5,,175.24,,130.19,131.03
Kipsaraman,140.9,150.8,156.3,165.3,165.3,165.3,185.27,184.27,183.27,183.27,183.27,183.27,182.21,179.5,200.73,172.66,187.65,130.59,130.19
Burgich,138.31,148.21,153.71,162.71,162.71,162.71,182.68,181.68,180.68,180.68,180.68,180.68,,179.5,197.94,174.42,185.06,130.67,130.59
Kachibora,140.07,149.97,155.47,164.47,164.47,164.47,184.44,183.44,182.44,182.44,182.44,182.44,178.87,179.5,199.83,173.02,186.82,130.13,130.67
Sondu,138.67,148.57,154.07,163.07,163.07,163.07,183.05,182.05,181.05,181.05,181.05,181.05,180.67,179.5,198.34,177.3,185.43,130.55,130.13
Webuye,142.95,152.85,158.35,167.35,167.35,167.35,187.33,186.33,185.33,185.33,185.33,185.33,,179.52,202.93,172.29,189.7,131.1,130.55
Kiminini,137.95,147.85,153.35,162.35,162.35,162.35,182.33,181.33,180.33,180.33,180.33,180.33,,179.93,197.56,169.91,184.7,130.73,131.1
Kajiado,136.3,146.2,151.7,160.7,160.7,160.7,180.66,179.66,178.66,178.66,178.66,178.66,179.36,179.86,195.78,170.64,183.05,131.42,130.73
Lungalunga,142.08,151.98,157.48,166.48,166.48,166.48,186.46,185.46,184.46,184.46,184.46,184.46,181.09,,202.0,176.43,188.84,131.07,131.42
Kiganjo,135.32,145.22,150.72,159.72,159.72,159.72,179.69,178.69,177.69,177.69,177.69,177.69,,180.26,194.74,169.67,182.08,131.27,131.07
Kabarnet ,135.13,145.03,150.53,159.53,159.53,159.53,179.51,178.51,177.51,177.51,177.51,177.51,180.07,179.52,194.53,169.47,181.88,130.32,131.27
Loruk,135.19,145.09,150.59,159.59,159.59,159.59,179.57,178.57,177.57,177.57,177.57,177.57,180.05,179.49,194.6,,181.95,130.12,130.32
Sololo,135.08,144.98,150.48,159.48,159.48,159.48,179.45,178.45,177.45,177.45,177.45,177.45,,179.45,194.47,169.42,181.83,130.23,130.12
Elwak,143.19,153.09,158.59,167.59,167.59,167.59,187.56,186.56,185.56,185.56,185.56,185.56,180.05,179.54,203.19,177.53,189.94,130.7,130.23
Makuyu,142.01,151.91,157.41,166.41,166.41,166.41,186.39,185.39,184.39,184.39,184.39,184.39,181.25,180.0,201.92,176.35,188.76,130.17,130.7
Kacheliba,138.42,148.32,153.82,162.82,162.82,162.82,182.8,181.8,180.8,180.8,180.8,180.8,,179.89,198.07,172.78,185.18,130.44,130.17
Mtito Andei,139.99,149.89,155.39,164.39,164.39,164.39,184.37,183.37,182.37,182.37,182.37,182.37,187.79,179.81,199.75,174.33,186.74,130.33,130.44
Mandera,137.2,147.1,152.6,161.6,161.6,161.6,181.57,180.57,179.57,179.57,179.57,179.57,179.51,,196.75,171.55,183.95,130.45,130.33
Lokori,136.52,146.42,151.92,160.92,160.92,160.92,180.9,179.9,178.9,178.9,178.9,178.9,179.54,179.73,196.03,170.88,183.28,130.63,130.45
Malaba,137.14,147.04,152.54,161.54,161.54,161.54,181.5,180.5,179.5,179.5,179.5,179.5,188.42,,196.68,171.48,183.89,130.69,130.63
Lokichogio,136.72,146.62,152.12,161.12,161.12,161.12,181.09,180.09,179.09,179.09,179.09,179.09,,179.69,196.24,171.07,183.47,131.0,130.69
Soy,135.52,145.42,150.92,159.92,159.92,159.92,179.89,178.89,177.89,177.89,177.89,177.89,179.86,,194.95,169.86,182.27,130.83,131.0
Oyugis,136.23,146.13,151.63,160.63,160.63,160.63,180.6,179.6,178.6,178.6,178.6,178.6,180.47,179.55,195.71,170.58,182.98,131.01,130.83
Marsabit,135.54,145.44,150.94,159.94,159.94,159.94,179.92,178.92,177.92,177.92,177.92,177.92,179.31,,194.97,,182.29,130.99,131.01
Kabartonjo,135.96,145.86,151.36,160.36,160.36,160.36,180.33,179.33,178.33,178.33,178.33,178.33,179.73,180.05,195.41,170.31,182.71,130.94,130.99
Ziwa,136.1,146.0,151.5,160.5,160.5,160.5,180.47,179.47,178.47,178.47,178.47,178.47,180.39,,195.58,170.45,182.85,131.79,130.94
Muranga,136.22,146.12,151.62,160.62,160.62,160.62,180.59,179.59,178.59,178.59,178.59,178.59,,180.39,195.69,170.56,182.96,132.07,131.79
Kisumu,137.12,147.02,152.52,161.52,161.52,161.52,181.49,180.49,179.49,179.49,179.49,179.49,179.45,,196.67,171.47,183.87,131.23,132.07
Mwingi,136.99,146.89,152.39,161.39,161.39,161.39,181.36,180.36,179.36,179.36,179.36,179.36,178.46,180.07,196.53,171.34,183.74,130.36,131.23
Kisii,135.96,145.86,151.36,160.36,160.36,160.36,180.33,179.33,178.33,178.33,178.33,178.33,188.57,,195.41,170.31,182.71,130.93,130.36
Kericho,136.03,145.93,151.43,160.43,160.43,160.43,180.39,179.39,178.39,178.39,178.39,178.39,,180.71,195.48,170.37,182.78,130.12,130.93
Mumias,135.19,145.09,150.59,159.59,159.59,159.59,179.57,178.57,177.57,177.57,177.57,177.57,179.93,,194.6,,181.95,131.58,130.12
Saboti,135.59,145.49,150.99,159.99,159.99,159.99,179.97,178.97,177.97,177.97,177.97,177.97,,182.33,195.03,169.94,182.35,131.67,131.58
